A.Ras	758	672	6818	101	15	150	25	12
Kayron	1119	483	5340	129	23	150	0	0
Melissa	1412	645	4248	112	15	150	0	0
Sigret	1228	553	5784	109	23	165	0	0
SSB	1182	571	5299	114	15	150	18	0
Roana	621	798	5474	98	15	150	0	0
BBK	1138	462	5871	111	23	150	0	0
C.Dominel	1187	627	4491	101	27	160	0	0
Alencia	945	616	6974	106	15	150	0	0
S.Angelica	520	508	3385	108	15	150	0	18
C.Zerato	1159	627	4733	104	27	150	18	0
Angelica	546	743	5352	88	15	150	0	54
Celine	1198	473	5864	113	23	150	0	0
Violet	1198	473	5864	113	23	150	0	0
Luna	1005	627	5784	109	15	150	0	0
C.Armin	628	535	4655	97	15	150	0	12
Tama	715	525	3481	108	15	150	0	0
Furious	787	432	4191	110	23	150	0	0
Kluri	564	480	4709	105	15	150	6	0


